x,y,rho,ux,uy
0,0,1,2.32549e-05,-1.04083e-17
0,1,1,2.31809e-05,6.10539e-08
0,2,1,2.2966e-05,1.1613e-07
0,3,1,2.26313e-05,1.59847e-07
0,4,1,2.22096e-05,1.87913e-07
0,5,1,2.17421e-05,1.97594e-07
0,6,1,2.12747e-05,1.87924e-07
0,7,1,2.0853e-05,1.59866e-07
0,8,1,2.05185e-05,1.1615e-07
0,9,1,2.03036e-05,6.10658e-08
0,10,1,2.02296e-05,2.15106e-16
0,11,1,2.03036e-05,-6.10658e-08
0,12,1,2.05185e-05,-1.1615e-07
0,13,1,2.0853e-05,-1.59866e-07
0,14,1,2.12747e-05,-1.87924e-07
0,15,1,2.17421e-05,-1.97594e-07
0,16,1,2.22096e-05,-1.87913e-07
0,17,1,2.26313e-05,-1.59847e-07
0,18,1,2.2966e-05,-1.1613e-07
0,19,1,2.31809e-05,-6.10539e-08
1,0,0.999987,2.21145e-05,-5.89814e-17
1,1,0.999987,2.2044e-05,-8.34157e-08
1,2,0.999987,2.18397e-05,-1.58659e-07
1,3,0.999988,2.15214e-05,-2.18347e-07
1,4,0.999988,2.11203e-05,-2.56654e-07
1,5,0.999988,2.06758e-05,-2.69816e-07
1,6,0.999988,2.02313e-05,-2.56578e-07
1,7,0.999989,1.98304e-05,-2.18224e-07
1,8,0.999989,1.95122e-05,-1.58536e-07
1,9,0.999989,1.93079e-05,-8.33398e-08
1,10,0.999989,1.92375e-05,2.047e-16
1,11,0.999989,1.93079e-05,8.33398e-08
1,12,0.999989,1.95122e-05,1.58536e-07
1,13,0.999989,1.98304e-05,2.18224e-07
1,14,0.999988,2.02313e-05,2.56578e-07
1,15,0.999988,2.06758e-05,2.69816e-07
1,16,0.999988,2.11203e-05,2.56654e-07
1,17,0.999988,2.15214e-05,2.18347e-07
1,18,0.999987,2.18397e-05,1.58659e-07
1,19,0.999987,2.2044e-05,8.34157e-08
2,0,0.999975,1.881e-05,-4.51039e-17
2,1,0.999976,1.87501e-05,-2.1373e-07
2,2,0.999976,1.85763e-05,-4.06524e-07
2,3,0.999976,1.83056e-05,-5.59486e-07
2,4,0.999977,1.79645e-05,-6.57663e-07
2,5,0.999977,1.75864e-05,-6.91431e-07
2,6,0.999978,1.72083e-05,-6.57532e-07
2,7,0.999979,1.68672e-05,-5.59273e-07
2,8,0.999979,1.65966e-05,-4.06311e-07
2,9,0.999979,1.64228e-05,-2.13598e-07
2,10,0.999979,1.6363e-05,1.4572e-16
2,11,0.999979,1.64228e-05,2.13598e-07
2,12,0.999979,1.65966e-05,4.06311e-07
2,13,0.999979,1.68672e-05,5.59273e-07
2,14,0.999978,1.72083e-05,6.57532e-07
2,15,0.999977,1.75864e-05,6.91431e-07
2,16,0.999977,1.79645e-05,6.57663e-07
2,17,0.999976,1.83056e-05,5.59486e-07
2,18,0.999976,1.85763e-05,4.06524e-07
2,19,0.999976,1.87501e-05,2.1373e-07
3,0,0.999966,1.36653e-05,-4.51043e-17
3,1,0.999966,1.36217e-05,-3.17138e-07
3,2,0.999967,1.34955e-05,-6.03214e-07
3,3,0.999967,1.32988e-05,-8.30192e-07
3,4,0.999968,1.3051e-05,-9.75879e-07
3,5,0.999969,1.27763e-05,-1.026e-06
3,6,0.99997,1.25016e-05,-9.75705e-07
3,7,0.999971,1.22538e-05,-8.2991e-07
3,8,0.999971,1.20572e-05,-6.02931e-07
3,9,0.999972,1.1931e-05,-3.16964e-07
3,10,0.999972,1.18875e-05,2.49807e-16
3,11,0.999972,1.1931e-05,3.16964e-07
3,12,0.999971,1.20572e-05,6.02931e-07
3,13,0.999971,1.22538e-05,8.2991e-07
3,14,0.99997,1.25016e-05,9.75705e-07
3,15,0.999969,1.27763e-05,1.026e-06
3,16,0.999968,1.3051e-05,9.75879e-07
3,17,0.999967,1.32988e-05,8.30192e-07
3,18,0.999967,1.34955e-05,6.03214e-07
3,19,0.999966,1.36217e-05,3.17138e-07
4,0,0.99996,7.18393e-06,-1.07557e-16
4,1,0.999961,7.16106e-06,-3.83526e-07
4,2,0.999961,7.09467e-06,-7.29488e-07
4,3,0.999962,6.99128e-06,-1.00398e-06
4,4,0.999963,6.861e-06,-1.18017e-06
4,5,0.999964,6.71659e-06,-1.24079e-06
4,6,0.999965,6.5722e-06,-1.17997e-06
4,7,0.999965,6.44194e-06,-1.00366e-06
4,8,0.999966,6.33858e-06,-7.29162e-07
4,9,0.999967,6.27222e-06,-3.83325e-07
4,10,0.999967,6.24935e-06,2.87974e-16
4,11,0.999967,6.27222e-06,3.83325e-07
4,12,0.999966,6.33858e-06,7.29162e-07
4,13,0.999965,6.44194e-06,1.00366e-06
4,14,0.999965,6.5722e-06,1.17997e-06
4,15,0.999964,6.71659e-06,1.24079e-06
4,16,0.999963,6.861e-06,1.18017e-06
