x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,7.39681e-11,3.47176e-11
1,2,1,7.17077e-11,-3.48336e-11
1,3,1,6.71937e-11,3.42739e-11
1,4,1,6.079e-11,-3.4877e-11
1,5,1,5.2434e-11,3.39394e-11
1,6,1,4.25606e-11,-3.49362e-11
1,7,1,3.13387e-11,3.37211e-11
1,8,1,1.92042e-11,-3.49786e-11
1,9,1,6.46182e-12,3.36242e-11
1,10,1,-6.46742e-12,-3.49859e-11
1,11,1,-1.91951e-11,3.36529e-11
1,12,1,-3.13598e-11,-3.49539e-11
1,13,1,-4.25376e-11,3.38043e-11
1,14,1,-5.24741e-11,-3.48899e-11
1,15,1,-6.07555e-11,3.4065e-11
1,16,1,-6.72638e-11,-3.4812e-11
1,17,1,-7.16652e-11,3.44277e-11
1,18,1,-7.40033e-11,-3.47923e-11
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-7.38165e-11,3.37203e-11
2,2,1,-7.14512e-11,-3.36054e-11
2,3,1,-6.69798e-11,3.34544e-11
2,4,1,-6.05586e-11,-3.34891e-11
2,5,1,-5.22587e-11,3.33074e-11
2,6,1,-4.23991e-11,-3.34197e-11
2,7,1,-3.12332e-11,3.3213e-11
2,8,1,-1.91315e-11,-3.33809e-11
2,9,1,-6.44048e-12,3.3171e-11
2,10,1,6.44329e-12,-3.33718e-11
2,11,1,1.91298e-11,3.31824e-11
2,12,1,3.12416e-11,-3.33913e-11
2,13,1,4.23934e-11,3.32465e-11
2,14,1,5.22747e-11,-3.34416e-11
2,15,1,6.05476e-11,3.33637e-11
2,16,1,6.7003e-11,-3.35228e-11
2,17,1,7.14018e-11,3.35002e-11
2,18,1,7.36258e-11,-3.36293e-11
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,7.34081e-11,3.15064e-11
3,2,1,7.12738e-11,-3.14447e-11
3,3,1,6.68732e-11,3.14071e-11
3,4,1,6.04409e-11,-3.13736e-11
3,5,1,5.21747e-11,3.13087e-11
3,6,1,4.23193e-11,-3.12933e-11
3,7,1,3.11824e-11,3.124e-11
3,8,1,1.90956e-11,-3.12488e-11
3,9,1,6.43003e-12,3.12103e-11
3,10,1,-6.43159e-12,-3.12392e-11
3,11,1,-1.90981e-11,3.12195e-11
3,12,1,-3.11835e-11,-3.12653e-11
3,13,1,-4.23237e-11,3.12677e-11
3,14,1,-5.21766e-11,-3.13261e-11
3,15,1,-6.04473e-11,3.13515e-11
3,16,1,-6.68815e-11,-3.14244e-11
3,17,1,-7.13061e-11,3.14941e-11
3,18,1,-7.3661e-11,-3.16552e-11
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-7.35721e-11,2.8585e-11
4,2,1,-7.1187e-11,-2.84568e-11
4,3,1,-6.67693e-11,2.83871e-11
4,4,1,-6.03362e-11,-2.83388e-11
4,5,1,-5.20861e-11,2.83002e-11
4,6,1,-4.22473e-11,-2.82723e-11
4,7,1,-3.11295e-11,2.82457e-11
4,8,1,-1.90633e-11,-2.82328e-11
4,9,1,-6.41927e-12,2.82215e-11
4,10,1,6.42048e-12,-2.82249e-11
4,11,1,1.90656e-11,2.823e-11
4,12,1,3.11302e-11,-2.82495e-11
4,13,1,4.22515e-11,2.82716e-11
4,14,1,5.20862e-11,-2.83081e-11
4,15,1,6.03414e-11,2.83497e-11
4,16,1,6.6759e-11,-2.84004e-11
4,17,1,7.11282e-11,2.84331e-11
4,18,1,7.31907e-11,-2.85112e-11
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,7.3038e-11,2.45978e-11
5,2,1,7.10153e-11,-2.45355e-11
5,3,1,6.66636e-11,2.45077e-11
5,4,1,6.02514e-11,-2.44676e-11
5,5,1,5.20113e-11,2.44309e-11
5,6,1,4.21894e-11,-2.44036e-11
5,7,1,3.10854e-11,2.43827e-11
5,8,1,1.90371e-11,-2.43701e-11
5,9,1,6.41021e-12,2.43629e-11
5,10,1,-6.41143e-12,-2.43639e-11
5,11,1,-1.90385e-11,2.43706e-11
5,12,1,-3.1087e-11,-2.43857e-11
5,13,1,-4.21914e-11,2.44065e-11
5,14,1,-5.20133e-11,-2.44349e-11
5,15,1,-6.02553e-11,2.44675e-11
5,16,1,-6.66721e-11,-2.45115e-11
5,17,1,-7.10786e-11,2.45694e-11
5,18,1,-7.34845e-11,-2.46828e-11
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-7.34326e-11,2.00121e-11
6,2,1,-7.09996e-11,-1.9922e-11
