x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,3.51295e-09,1.64883e-09
1,2,1,3.4056e-09,-1.65434e-09
1,3,1,3.19121e-09,1.62775e-09
1,4,1,2.88708e-09,-1.6564e-09
1,5,1,2.49023e-09,1.61187e-09
1,6,1,2.02132e-09,-1.65921e-09
1,7,1,1.48836e-09,1.6015e-09
1,8,1,9.12065e-10,-1.66122e-09
1,9,1,3.06896e-10,1.5969e-09
1,10,1,-3.07152e-10,-1.66156e-09
1,11,1,-9.1163e-10,1.59827e-09
1,12,1,-1.48936e-09,-1.66005e-09
1,13,1,-2.02022e-09,1.60546e-09
1,14,1,-2.49213e-09,-1.657e-09
1,15,1,-2.88544e-09,1.61784e-09
1,16,1,-3.19454e-09,-1.65331e-09
1,17,1,-3.40357e-09,1.63506e-09
1,18,1,-3.51462e-09,-1.65237e-09
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-3.50575e-09,1.60146e-09
2,2,1,-3.39342e-09,-1.59601e-09
2,3,1,-3.18106e-09,1.58883e-09
2,4,1,-2.8761e-09,-1.59049e-09
2,5,1,-2.48192e-09,1.58185e-09
2,6,1,-2.01366e-09,-1.58719e-09
2,7,1,-1.48335e-09,1.57738e-09
2,8,1,-9.08615e-10,-1.58534e-09
2,9,1,-3.0588e-10,1.57539e-09
2,10,1,3.06001e-10,-1.5849e-09
2,11,1,9.08514e-10,1.57593e-09
2,12,1,1.48374e-09,-1.58583e-09
2,13,1,2.01336e-09,1.57898e-09
2,14,1,2.48266e-09,-1.58821e-09
2,15,1,2.87556e-09,1.58454e-09
2,16,1,3.18214e-09,-1.59207e-09
2,17,1,3.39106e-09,1.59102e-09
2,18,1,3.49669e-09,-1.59714e-09
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,3.48635e-09,1.49632e-09
3,2,1,3.38499e-09,-1.49339e-09
3,3,1,3.17598e-09,1.4916e-09
3,4,1,2.87049e-09,-1.49002e-09
3,5,1,2.4779e-09,1.48692e-09
3,6,1,2.00985e-09,-1.4862e-09
3,7,1,1.48093e-09,1.48368e-09
3,8,1,9.06898e-10,-1.48407e-09
3,9,1,3.05375e-10,1.48227e-09
3,10,1,-3.05459e-10,-1.48362e-09
3,11,1,-9.07029e-10,1.48271e-09
3,12,1,-1.481e-09,-1.48486e-09
3,13,1,-2.01008e-09,1.485e-09
3,14,1,-2.47802e-09,-1.48774e-09
3,15,1,-2.87082e-09,1.48898e-09
3,16,1,-3.17639e-09,-1.49241e-09
3,17,1,-3.38652e-09,1.49574e-09
3,18,1,-3.49836e-09,-1.50339e-09
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-3.49414e-09,1.35757e-09
4,2,1,-3.38087e-09,-1.35149e-09
4,3,1,-3.17107e-09,1.34817e-09
4,4,1,-2.86555e-09,-1.34589e-09
4,5,1,-2.47373e-09,1.34405e-09
4,6,1,-2.00646e-09,-1.34272e-09
4,7,1,-1.47844e-09,1.34147e-09
4,8,1,-9.05382e-10,-1.34083e-09
4,9,1,-3.04885e-10,1.34032e-09
4,10,1,3.04907e-10,-1.34046e-09
4,11,1,9.05454e-10,1.34073e-09
4,12,1,1.47844e-09,-1.34163e-09
4,13,1,2.00661e-09,1.34271e-09
4,14,1,2.47369e-09,-1.34441e-09
4,15,1,2.86576e-09,1.34642e-09
4,16,1,3.17055e-09,-1.34879e-09
4,17,1,3.37806e-09,1.35037e-09
4,18,1,3.47603e-09,-1.35407e-09
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,3.46878e-09,1.16822e-09
5,2,1,3.37271e-09,-1.16525e-09
5,3,1,3.16603e-09,1.16393e-09
5,4,1,2.86149e-09,-1.16203e-09
5,5,1,2.47014e-09,1.16029e-09
5,6,1,2.00367e-09,-1.15898e-09
5,7,1,1.47631e-09,1.158e-09
5,8,1,9.04108e-10,-1.15739e-09
5,9,1,3.04421e-10,1.15707e-09
5,10,1,-3.04516e-10,-1.15709e-09
5,11,1,-9.04208e-10,1.15744e-09
5,12,1,-1.47643e-09,-1.15813e-09
5,13,1,-2.00381e-09,1.15915e-09
5,14,1,-2.47027e-09,-1.16046e-09
5,15,1,-2.86171e-09,1.16204e-09
5,16,1,-3.16645e-09,-1.1641e-09
5,17,1,-3.37572e-09,1.16687e-09
5,18,1,-3.48998e-09,-1.17225e-09
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-3.48751e-09,9.50426e-10
6,2,1,-3.37197e-09,-9.46145e-10
