x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.00343474,0
0,2,1,0.0068612,0
0,3,1,0.0102711,0
0,4,1,0.0136563,0
0,5,1,0.0170086,0
0,6,1,0.0203199,0
0,7,1,0.0235823,0
0,8,1,0.0267878,0
0,9,1,0.0299289,0
0,10,1,0.0329978,0
0,11,1,0.0359872,0
0,12,1,0.0388899,0
0,13,1,0.041699,0
0,14,1,0.0444075,0
0,15,1,0.0470091,0
0,16,1,0.0494975,0
0,17,1,0.0518666,0
0,18,1,0.0541107,0
0,19,1,0.0562245,0
0,20,1,0.0582029,0
0,21,1,0.060041,0
0,22,1,0.0617345,0
0,23,1,0.0632793,0
0,24,1,0.0646716,0
0,25,1,0.0659081,0
0,26,1,0.0669858,0
0,27,1,0.0679022,0
0,28,1,0.068655,0
0,29,1,0.0692424,0
0,30,1,0.0696629,0
0,31,1,0.0699157,0
0,32,1,0.07,0
0,33,1,0.0699157,0
0,34,1,0.0696629,0
0,35,1,0.0692424,0
0,36,1,0.068655,0
0,37,1,0.0679022,0
0,38,1,0.0669858,0
0,39,1,0.0659081,0
0,40,1,0.0646716,0
0,41,1,0.0632793,0
0,42,1,0.0617345,0
0,43,1,0.060041,0
0,44,1,0.0582029,0
0,45,1,0.0562245,0
0,46,1,0.0541107,0
0,47,1,0.0518666,0
0,48,1,0.0494975,0
0,49,1,0.0470091,0
0,50,1,0.0444075,0
0,51,1,0.041699,0
0,52,1,0.0388899,0
0,53,1,0.0359872,0
0,54,1,0.0329978,0
0,55,1,0.0299289,0
0,56,1,0.0267878,0
0,57,1,0.0235823,0
0,58,1,0.0203199,0
0,59,1,0.0170086,0
0,60,1,0.0136563,0
0,61,1,0.0102711,0
0,62,1,0.0068612,0
0,63,1,0.00343474,0
0,64,1,8.57253e-18,0
0,65,1,-0.00343474,0
0,66,1,-0.0068612,0
0,67,1,-0.0102711,0
0,68,1,-0.0136563,0
0,69,1,-0.0170086,0
0,70,1,-0.0203199,0
0,71,1,-0.0235823,0
0,72,1,-0.0267878,0
0,73,1,-0.0299289,0
0,74,1,-0.0329978,0
0,75,1,-0.0359872,0
0,76,1,-0.0388899,0
0,77,1,-0.041699,0
0,78,1,-0.0444075,0
0,79,1,-0.0470091,0
0,80,1,-0.0494975,0
0,81,1,-0.0518666,0
0,82,1,-0.0541107,0
0,83,1,-0.0562245,0
0,84,1,-0.0582029,0
0,85,1,-0.060041,0
0,86,1,-0.0617345,0
0,87,1,-0.0632793,0
0,88,1,-0.0646716,0
0,89,1,-0.0659081,0
0,90,1,-0.0669858,0
0,91,1,-0.0679022,0
0,92,1,-0.068655,0
0,93,1,-0.0692424,0
0,94,1,-0.0696629,0
0,95,1,-0.0699157,0
0,96,1,-0.07,0
0,97,1,-0.0699157,0
0,98,1,-0.0696629,0
0,99,1,-0.0692424,0
0,100,1,-0.068655,0
0,101,1,-0.0679022,0
0,102,1,-0.0669858,0
0,103,1,-0.0659081,0
0,104,1,-0.0646716,0
0,105,1,-0.0632793,0
0,106,1,-0.0617345,0
0,107,1,-0.060041,0
0,108,1,-0.0582029,0
0,109,1,-0.0562245,0
0,110,1,-0.0541107,0
0,111,1,-0.0518666,0
0,112,1,-0.0494975,0
0,113,1,-0.0470091,0
0,114,1,-0.0444075,0
0,115,1,-0.041699,0
0,116,1,-0.0388899,0
0,117,1,-0.0359872,0
0,118,1,-0.0329978,0
0,119,1,-0.0299289,0
0,120,1,-0.0267878,0
0,121,1,-0.0235823,0
0,122,1,-0.0203199,0
0,123,1,-0.0170086,0
0,124,1,-0.0136563,0
0,125,1,-0.0102711,0
0,126,1,-0.0068612,0
0,127,1,-0.00343474,0
1,0,1,0,0
1,1,1.01728,0.000133846,-1.37429e-05
1,2,1.0173,0.000121363,-1.54694e-05
1,3,1.0173,0.000115391,5.24633e-06
1,4,1.01728,0.000110806,3.70197e-05
1,5,1.01724,0.000106131,7.41293e-05
1,6,1.01718,0.000101188,0.000114561
1,7,1.0171,9.59535e-05,0.000155401
1,8,1.017,9.03256e-05,0.000195693
1,9,1.01689,8.4235e-05,0.000233582
1,10,1.01676,7.76435e-05,0.000269092
1,11,1.01661,7.0554e-05,0.000301208
1,12,1.01645,6.29798e-05,0.000330531
1,13,1.01628,5.49659e-05,0.000356498
1,14,1.01609,4.65544e-05,0.000379914
1,15,1.01589,3.78107e-05,0.000400374
1,16,1.01567,2.87846e-05,0.000418653
1,17,1.01545,1.9544e-05,0.000434362
1,18,1.01521,1.01342e-05,0.000448163
1,19,1.01496,6.18114e-07,0.000459658
1,20,1.01469,-8.96676e-06,0.00046939
1,21,1.01442,-1.85635e-05,0.000476975
1,22,1.01413,-2.81413e-05,0.000482853
1,23,1.01383,-3.76479e-05,0.000486686
1,24,1.01352,-4.70575e-05,0.000488827
1,25,1.0132,-5.6321e-05,0.000488999
1,26,1.01286,-6.54159e-05,0.000487481
1,27,1.01252,-7.42954e-05,0.000484071
1,28,1.01217,-8.29392e-05,0.000478975
1,29,1.0118,-9.13026e-05,0.000472071
1,30,1.01143,-9.93672e-05,0.000463497
1,31,1.01105,-0.000107091,0.000453213
1,32,1.01066,-0.000114457,0.00044129
1,33,1.01026,-0.000121425,0.000427774
1,34,1.00985,-0.000127983,0.000412671
1,35,1.00944,-0.000134095,0.000396114
1,36,1.00902,-0.000139749,0.000378044
1,37,1.00859,-0.000144915,0.00035868
1,38,1.00816,-0.000149587,0.000337906
1,39,1.00772,-0.000153738,0.000316023
1,40,1.00728,-0.000157367,0.000292857
1,41,1.00683,-0.000160453,0.000268791
1,42,1.00638,-0.000163001,0.000243596
1,43,1.00593,-0.000164997,0.000217731
1,44,1.00548,-0.00016645,0.000190914
1,45,1.00502,-0.000167353,0.000163675
1,46,1.00456,-0.000167719,0.000135681
1,47,1.0041,-0.000167549,0.000107527
1,48,1.00365,-0.00016686,7.88289e-05
1,49,1.00319,-0.000165658,5.02397e-05
1,50,1.00274,-0.000163966,2.13277e-05
1,51,1.00228,-0.000161794,-7.20463e-06
1,52,1.00183,-0.000159167,-3.58365e-05
1,53,1.00138,-0.000156099,-6.38221e-05
1,54,1.00094,-0.00015262,-9.16879e-05
1,55,1.0005,-0.000148744,-0.000118651
1,56,1.00006,-0.000144502,-0.000145286
1,57,0.999626,-0.000139913,-0.000170777
1,58,0.999198,-0.000135006,-0.000195747
1,59,0.998775,-0.000129801,-0.000219356
1,60,0.998357,-0.000124327,-0.000242271
1,61,0.997944,-0.000118604,-0.000263632
1,62,0.997537,-0.00011266,-0.000284154
1,63,0.997136,-0.000106515,-0.000302958
1,64,0.99674,-0.000100197,-0.000320806
1,65,0.996351,-9.37216e-05,-0.000336806
1,66,0.995968,-8.71181e-05,-0.000351764
1,67,0.99559,-8.0402e-05,-0.000364778
1,68,0.995219,-7.35998e-05,-0.000376698
1,69,0.994854,-6.67266e-05,-0.000386611
