x,y,rho,ux,uy
0,0,1,1.70325e-06,2.42861e-17
0,1,1,1.70237e-06,-2.63658e-09
0,2,1,1.69982e-06,-5.01508e-09
0,3,1,1.69584e-06,-6.90267e-09
0,4,1,1.69082e-06,-8.11458e-09
0,5,1,1.68526e-06,-8.53218e-09
0,6,1,1.6797e-06,-8.11459e-09
0,7,1,1.67469e-06,-6.90269e-09
0,8,1,1.67071e-06,-5.0151e-09
0,9,1,1.66815e-06,-2.6366e-09
0,10,1,1.66727e-06,-6.245e-17
0,11,1,1.66815e-06,2.6366e-09
0,12,1,1.67071e-06,5.0151e-09
0,13,1,1.67469e-06,6.90269e-09
0,14,1,1.6797e-06,8.11459e-09
0,15,1,1.68526e-06,8.53218e-09
0,16,1,1.69082e-06,8.11458e-09
0,17,1,1.69584e-06,6.90267e-09
0,18,1,1.69982e-06,5.01508e-09
0,19,1,1.70237e-06,2.63658e-09
1,0,1,1.61988e-06,2.77555e-17
1,1,1,1.61904e-06,-4.35446e-09
1,2,1,1.61661e-06,-8.28267e-09
1,3,1,1.61283e-06,-1.14001e-08
1,4,1,1.60806e-06,-1.34017e-08
1,5,1,1.60277e-06,-1.40913e-08
1,6,1,1.59748e-06,-1.34017e-08
1,7,1,1.59271e-06,-1.14001e-08
1,8,1,1.58893e-06,-8.28269e-09
1,9,1,1.5865e-06,-4.35447e-09
1,10,1,1.58566e-06,-1.14492e-16
1,11,1,1.5865e-06,4.35447e-09
1,12,1,1.58893e-06,8.28269e-09
1,13,1,1.59271e-06,1.14001e-08
1,14,1,1.59748e-06,1.34017e-08
1,15,1,1.60277e-06,1.40913e-08
1,16,1,1.60806e-06,1.34017e-08
1,17,1,1.61283e-06,1.14001e-08
1,18,1,1.61661e-06,8.28267e-09
1,19,1,1.61904e-06,4.35446e-09
2,0,1,1.37794e-06,3.46944e-17
2,1,1,1.37723e-06,-5.90419e-09
2,2,1,1.37516e-06,-1.12304e-08
2,3,1,1.37194e-06,-1.54574e-08
2,4,1,1.36789e-06,-1.81712e-08
2,5,1,1.36339e-06,-1.91064e-08
2,6,1,1.35889e-06,-1.81713e-08
2,7,1,1.35483e-06,-1.54574e-08
2,8,1,1.35161e-06,-1.12305e-08
2,9,1,1.34955e-06,-5.9042e-09
2,10,1,1.34883e-06,-1.31839e-16
2,11,1,1.34955e-06,5.9042e-09
2,12,1,1.35161e-06,1.12305e-08
2,13,1,1.35483e-06,1.54574e-08
2,14,1,1.35889e-06,1.81713e-08
2,15,1,1.36339e-06,1.91064e-08
2,16,1,1.36789e-06,1.81712e-08
2,17,1,1.37194e-06,1.54574e-08
2,18,1,1.37516e-06,1.12304e-08
2,19,1,1.37723e-06,5.90419e-09
3,0,1,1.00113e-06,1.70002e-16
3,1,1,1.00061e-06,-7.13408e-09
3,2,1,9.99111e-07,-1.35698e-08
3,3,1,9.96771e-07,-1.86773e-08
3,4,1,9.93823e-07,-2.19564e-08
3,5,1,9.90556e-07,-2.30864e-08
3,6,1,9.87288e-07,-2.19565e-08
3,7,1,9.8434e-07,-1.86773e-08
3,8,1,9.82001e-07,-1.35698e-08
3,9,1,9.80499e-07,-7.13409e-09
3,10,1,9.79981e-07,-3.46943e-18
3,11,1,9.80499e-07,7.13409e-09
3,12,1,9.82001e-07,1.35698e-08
3,13,1,9.8434e-07,1.86773e-08
3,14,1,9.87288e-07,2.19565e-08
3,15,1,9.90556e-07,2.30864e-08
3,16,1,9.93823e-07,2.19564e-08
3,17,1,9.96771e-07,1.86773e-08
3,18,1,9.99111e-07,1.35698e-08
3,19,1,1.00061e-06,7.13408e-09
4,0,1,5.26324e-07,1.66533e-16
4,1,1,5.26052e-07,-7.92371e-09
4,2,1,5.25262e-07,-1.50718e-08
4,3,1,5.24032e-07,-2.07446e-08
4,4,1,5.22482e-07,-2.43867e-08
4,5,1,5.20764e-07,-2.56417e-08
