x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,1.27281e-06,5.82286e-07
1,2,1,1.21891e-06,-6.49353e-07
1,3,1,1.13628e-06,5.67254e-07
1,4,1,1.024e-06,-6.26331e-07
1,5,1,8.7802e-07,5.89742e-07
1,6,1,7.05176e-07,-6.02821e-07
1,7,1,5.08413e-07,6.05719e-07
1,8,1,2.9553e-07,-5.87494e-07
1,9,1,7.20594e-08,6.17388e-07
1,10,1,-1.54498e-07,-5.76416e-07
1,11,1,-3.77335e-07,6.27102e-07
1,12,1,-5.90222e-07,-5.68419e-07
1,13,1,-7.85926e-07,6.36049e-07
1,14,1,-9.60151e-07,-5.60895e-07
1,15,1,-1.10568e-06,6.48496e-07
1,16,1,-1.2198e-06,-5.5025e-07
1,17,1,-1.29374e-06,6.58918e-07
1,18,1,-1.31898e-06,-5.76746e-07
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-1.33712e-06,5.55645e-07
2,2,1,-1.35433e-06,-6.56661e-07
2,3,1,-1.30054e-06,5.21036e-07
2,4,1,-1.19043e-06,-6.23198e-07
2,5,1,-1.03979e-06,5.7211e-07
2,6,1,-8.61534e-07,-5.69889e-07
2,7,1,-6.62452e-07,6.1385e-07
2,8,1,-4.49108e-07,-5.33878e-07
2,9,1,-2.26993e-07,6.42446e-07
2,10,1,-2.6215e-09,-5.09127e-07
2,11,1,2.17247e-07,6.63e-07
2,12,1,4.25696e-07,-4.9275e-07
2,13,1,6.15507e-07,6.78686e-07
2,14,1,7.81343e-07,-4.78676e-07
2,15,1,9.19423e-07,6.97605e-07
2,16,1,1.03287e-06,-4.66854e-07
2,17,1,1.13234e-06,6.88071e-07
2,18,1,1.23245e-06,-5.42942e-07
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,1.23194e-06,5.20096e-07
3,2,1,1.09167e-06,-6.15886e-07
3,3,1,9.59129e-07,4.85258e-07
3,4,1,8.33149e-07,-5.87723e-07
3,5,1,6.93881e-07,5.36143e-07
3,6,1,5.2999e-07,-5.32302e-07
3,7,1,3.4093e-07,5.81395e-07
3,8,1,1.32103e-07,-4.93217e-07
3,9,1,-8.87411e-08,6.12689e-07
3,10,1,-3.13934e-07,-4.66433e-07
3,11,1,-5.36571e-07,6.34917e-07
3,12,1,-7.50762e-07,-4.48609e-07
3,13,1,-9.51329e-07,6.51825e-07
3,14,1,-1.132e-06,-4.33587e-07
3,15,1,-1.28218e-06,6.69771e-07
3,16,1,-1.38262e-06,-4.25849e-07
3,17,1,-1.40685e-06,6.52387e-07
3,18,1,-1.3433e-06,-5.11247e-07
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-1.35572e-06,4.73884e-07
4,2,1,-1.45161e-06,-5.52212e-07
4,3,1,-1.45571e-06,4.43699e-07
4,4,1,-1.36502e-06,-5.27056e-07
4,5,1,-1.21278e-06,4.87509e-07
4,6,1,-1.02644e-06,-4.78472e-07
4,7,1,-8.21345e-07,5.2779e-07
4,8,1,-6.04706e-07,-4.43754e-07
4,9,1,-3.81546e-07,5.5546e-07
4,10,1,-1.57241e-07,-4.20306e-07
4,11,1,6.1464e-08,5.74766e-07
4,12,1,2.66668e-07,-4.04985e-07
4,13,1,4.50628e-07,5.89296e-07
4,14,1,6.08594e-07,-3.92263e-07
4,15,1,7.44769e-07,6.04218e-07
4,16,1,8.77227e-07,-3.87589e-07
4,17,1,1.03215e-06,5.85857e-07
4,18,1,1.20621e-06,-4.61399e-07
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,1.19974e-06,4.08924e-07
5,2,1,9.95982e-07,-4.71806e-07
5,3,1,8.15062e-07,3.8919e-07
5,4,1,6.71175e-07,-4.4859e-07
5,5,1,5.33417e-07,4.26951e-07
5,6,1,3.77022e-07,-4.07398e-07
5,7,1,1.94492e-07,4.60684e-07
5,8,1,-1.02137e-08,-3.7848e-07
5,9,1,-2.2881e-07,4.8345e-07
5,10,1,-4.52862e-07,-3.59549e-07
5,11,1,-6.75482e-07,4.98659e-07
5,12,1,-8.91554e-07,-3.47928e-07
5,13,1,-1.09655e-06,5.0948e-07
5,14,1,-1.28282e-06,-3.38772e-07
5,15,1,-1.43306e-06,5.20393e-07
5,16,1,-1.51473e-06,-3.3604e-07
5,17,1,-1.48945e-06,5.05101e-07
5,18,1,-1.36323e-06,-3.99475e-07
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-1.37812e-06,3.33953e-07
6,2,1,-1.52882e-06,-3.79101e-07
