x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1.01569,0.00252554,0.000708535
1,2,1.01408,0.00276461,0.00140638
1,3,1.01219,0.00263835,0.00159138
1,4,1.0102,0.00242086,0.00175715
1,5,1.0081,0.00212663,0.00182223
1,6,1.00597,0.00173894,0.00185423
1,7,1.00386,0.00127101,0.00184301
1,8,1.0018,0.000725561,0.00183905
1,9,0.999758,0.000149925,0.00191363
1,10,0.99769,-0.000431696,0.00199846
1,11,0.995539,-0.000968811,0.00219993
1,12,0.993284,-0.00144554,0.00231806
1,13,0.990924,-0.00183515,0.0024943
1,14,0.988522,-0.00214873,0.00243677
1,15,0.986172,-0.00238947,0.00237043
1,16,0.983976,-0.00257367,0.00201803
1,17,0.981958,-0.00269944,0.00170634
1,18,0.98027,-0.00244721,0.000793352
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1.01456,-0.00034626,0.00102171
2,2,1.01327,0.00115864,0.0021569
2,3,1.01164,0.00155693,0.0025266
2,4,1.00977,0.00164053,0.00267791
2,5,1.00777,0.0016888,0.00265254
2,6,1.00573,0.00167805,0.00255659
2,7,1.00368,0.00154049,0.00242038
2,8,1.00167,0.00126435,0.00233332
2,9,0.999666,0.000861203,0.00240629
2,10,0.997651,0.000372196,0.00258906
2,11,0.995569,-0.000155936,0.00297014
2,12,0.993419,-0.000657614,0.00332216
2,13,0.991198,-0.00107947,0.00371505
2,14,0.988967,-0.00138723,0.00381762
2,15,0.986793,-0.00159718,0.00379802
2,16,0.98479,-0.0017077,0.00336307
2,17,0.983073,-0.00146527,0.00270643
2,18,0.981738,-5.3794e-06,0.00117737
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1.01362,0.00374317,0.000810541
3,2,1.01254,0.00617334,0.00171256
3,3,1.01101,0.00664145,0.00165447
3,4,1.00925,0.00642086,0.00135135
3,5,1.00735,0.00595396,0.000896546
3,6,1.0054,0.00521659,0.000390124
3,7,1.00343,0.00412535,-9.73298e-05
3,8,1.0015,0.00269744,-0.000453647
3,9,0.999573,0.00103719,-0.000544061
3,10,0.997651,-0.000706936,-0.000395945
3,11,0.995689,-0.00237445,7.31123e-05
3,12,0.993686,-0.00381621,0.000646293
3,13,0.99164,-0.00493075,0.00135495
3,14,0.989605,-0.00570476,0.00187661
3,15,0.987642,-0.00620988,0.00231764
3,16,0.985825,-0.00646606,0.00241408
3,17,0.984244,-0.00607958,0.00226058
3,18,0.983107,-0.00366504,0.000987486
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1.01249,0.00140695,0.000760741
4,2,1.01132,0.00518263,0.00109386
4,3,1.00992,0.00629025,0.000620399
4,4,1.0083,0.00639437,-0.00013898
4,5,1.00656,0.00621952,-0.00105094
4,6,1.00476,0.00574982,-0.00196326
4,7,1.00296,0.00484179,-0.00278353
4,8,1.00119,0.00347455,-0.00339072
4,9,0.999449,0.00174789,-0.00364047
4,10,0.997717,-0.00017199,-0.0035408
4,11,0.995966,-0.00208063,-0.00301886
4,12,0.994192,-0.00377106,-0.00226568
4,13,0.992398,-0.00508295,-0.00127915
4,14,0.990621,-0.00597242,-0.000346683
4,15,0.988902,-0.00651374,0.000592456
4,16,0.987313,-0.00667387,0.0012485
4,17,0.985917,-0.00575054,0.00159261
4,18,0.98475,-0.00195974,0.000951682
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1.0112,0.00530014,0.000468412
5,2,1.01022,0.0101208,0.000707727
5,3,1.0089,0.0114013,-2.22717e-05
5,4,1.00741,0.0112542,-0.00103573
5,5,1.0058,0.010568,-0.00216408
5,6,1.00414,0.00934971,-0.0032761
5,7,1.00248,0.00745636,-0.00425687
5,8,1.00087,0.00490958,-0.00498332
5,9,0.999291,0.00189856,-0.00532151
5,10,0.99775,-0.00129532,-0.00526329
5,11,0.996219,-0.0043592,-0.0047492
5,12,0.994692,-0.00700306,-0.00393313
5,13,0.993163,-0.00903195,-0.00283028
5,14,0.991659,-0.0104182,-0.00168482
5,15,0.990211,-0.0112704,-0.000496573
5,16,0.988847,-0.0115303,0.0004991
5,17,0.987593,-0.0102951,0.00119499
5,18,0.986585,-0.00526364,0.000678877
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1.00928,0.0035853,0.000490661
6,2,1.00829,0.00962612,0.000376714
6,3,1.00718,0.0114848,-0.000316313
6,4,1.00591,0.0116426,-0.0012889
6,5,1.00453,0.0111798,-0.00239713
6,6,1.00312,0.010126,-0.00347608
6,7,1.00173,0.00830805,-0.00442325
