x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,1.60753e-08,7.54501e-09
1,2,1,1.55841e-08,-7.57053e-09
1,3,1,1.4603e-08,7.44851e-09
1,4,1,1.32113e-08,-7.57986e-09
1,5,1,1.13953e-08,7.37597e-09
1,6,1,9.24952e-09,-7.59254e-09
1,7,1,6.8107e-09,7.32868e-09
1,8,1,4.17354e-09,-7.60164e-09
1,9,1,1.40426e-09,7.30771e-09
1,10,1,-1.40566e-09,-7.60313e-09
1,11,1,-4.17178e-09,7.31402e-09
1,12,1,-6.81552e-09,-7.59615e-09
1,13,1,-9.24477e-09,7.34695e-09
1,14,1,-1.14043e-08,-7.58219e-09
1,15,1,-1.32041e-08,7.40367e-09
1,16,1,-1.46185e-08,-7.56524e-09
1,17,1,-1.55751e-08,7.48245e-09
1,18,1,-1.60832e-08,-7.56116e-09
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-1.60425e-08,7.32822e-09
2,2,1,-1.55286e-08,-7.30376e-09
2,3,1,-1.4557e-08,7.27019e-09
2,4,1,-1.31616e-08,-7.27837e-09
2,5,1,-1.13578e-08,7.23858e-09
2,6,1,-9.21496e-09,-7.26289e-09
2,7,1,-6.78826e-09,7.21846e-09
2,8,1,-4.15822e-09,-7.25415e-09
2,9,1,-1.40009e-09,7.20956e-09
2,10,1,1.39989e-09,-7.25197e-09
2,11,1,4.157e-09,7.21219e-09
2,12,1,6.78922e-09,-7.25611e-09
2,13,1,9.21277e-09,7.22622e-09
2,14,1,1.13602e-08,-7.26692e-09
2,15,1,1.31581e-08,7.25179e-09
2,16,1,1.45611e-08,-7.28454e-09
2,17,1,1.55173e-08,7.28122e-09
2,18,1,1.60008e-08,-7.30834e-09
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,1.59537e-08,6.84708e-09
3,2,1,1.54896e-08,-6.83417e-09
3,3,1,1.45328e-08,6.82524e-09
3,4,1,1.31347e-08,-6.81864e-09
3,5,1,1.13382e-08,6.80421e-09
3,6,1,9.19645e-09,-6.80073e-09
3,7,1,6.77612e-09,6.78973e-09
3,8,1,4.14934e-09,-6.79067e-09
3,9,1,1.39675e-09,6.78357e-09
3,10,1,-1.39846e-09,-6.78837e-09
3,11,1,-4.15129e-09,6.78573e-09
3,12,1,-6.77786e-09,-6.7939e-09
3,13,1,-9.199e-09,6.79635e-09
3,14,1,-1.13404e-08,-6.80698e-09
3,15,1,-1.31379e-08,6.81464e-09
3,16,1,-1.45361e-08,-6.8284e-09
3,17,1,-1.54973e-08,6.84527e-09
3,18,1,-1.60087e-08,-6.87932e-09
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-1.59892e-08,6.21221e-09
4,2,1,-1.54713e-08,-6.18476e-09
4,3,1,-1.45118e-08,6.16897e-09
4,4,1,-1.3114e-08,-6.15901e-09
4,5,1,-1.1321e-08,6.15044e-09
4,6,1,-9.1827e-09,-6.14415e-09
4,7,1,-6.7664e-09,6.13899e-09
4,8,1,-4.14402e-09,-6.1352e-09
4,9,1,-1.3961e-09,6.134e-09
4,10,1,1.39432e-09,-6.13328e-09
4,11,1,4.14242e-09,6.13604e-09
4,12,1,6.76436e-09,-6.1385e-09
4,13,1,9.18125e-09,6.14519e-09
4,14,1,1.13185e-08,-6.15112e-09
4,15,1,1.31127e-08,6.16222e-09
4,16,1,1.45076e-08,-6.17127e-09
4,17,1,1.54578e-08,6.17997e-09
4,18,1,1.59065e-08,-6.19606e-09
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,1.58734e-08,5.34574e-09
5,2,1,1.54333e-08,-5.33246e-09
5,3,1,1.44869e-08,5.32598e-09
5,4,1,1.30929e-08,-5.3176e-09
5,5,1,1.1302e-08,5.3096e-09
5,6,1,9.16755e-09,-5.30332e-09
5,7,1,6.75441e-09,5.29946e-09
5,8,1,4.13603e-09,-5.29575e-09
5,9,1,1.39186e-09,5.29539e-09
5,10,1,-1.39467e-09,-5.29423e-09
5,11,1,-4.13892e-09,5.29722e-09
5,12,1,-6.75748e-09,-5.29886e-09
5,13,1,-9.17088e-09,5.30512e-09
5,14,1,-1.13055e-08,-5.30946e-09
5,15,1,-1.30967e-08,5.31838e-09
5,16,1,-1.44909e-08,-5.32622e-09
5,17,1,-1.54478e-08,5.34018e-09
5,18,1,-1.59702e-08,-5.36407e-09
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-1.59588e-08,4.34914e-09
6,2,1,-1.54306e-08,-4.32973e-09
