x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1.0564,0.00507045,0.00135051
1,2,1.05255,0.00588879,0.00248623
1,3,1.04882,0.00578704,0.0030121
1,4,1.04461,0.0055563,0.00407965
1,5,1.03925,0.00502191,0.00482198
1,6,1.03257,0.00406215,0.00544204
1,7,1.02447,0.00276792,0.0056375
1,8,1.01518,0.0012146,0.00557084
1,9,1.00513,-0.000405054,0.00522118
1,10,0.995029,-0.00198456,0.00460618
1,11,0.985567,-0.00337322,0.00400232
1,12,0.977358,-0.00453569,0.00324417
1,13,0.970709,-0.00540354,0.00278878
1,14,0.965648,-0.00602676,0.0021786
1,15,0.961872,-0.00641716,0.00202353
1,16,0.958863,-0.00671195,0.00174171
1,17,0.955619,-0.00690342,0.00231209
1,18,0.951692,-0.00585313,0.00152437
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1.05227,0.000836698,0.00174858
2,2,1.04905,0.00365326,0.00339142
2,3,1.04571,0.00306906,0.00442189
2,4,1.04177,0.00244198,0.00574215
2,5,1.03683,0.00202169,0.0064939
2,6,1.0307,0.00152241,0.00671048
2,7,1.02326,0.000860665,0.00618752
2,8,1.01469,9.23717e-05,0.00522196
2,9,1.00533,-0.000753806,0.00401817
2,10,0.995814,-0.00163157,0.00276249
2,11,0.986763,-0.00251446,0.00184202
2,12,0.978799,-0.00334023,0.00114303
2,13,0.972234,-0.0040643,0.00100735
2,14,0.967184,-0.00464515,0.000912231
2,15,0.963371,-0.0051817,0.00129267
2,16,0.960391,-0.00582832,0.00163336
2,17,0.95762,-0.00580296,0.0025104
2,18,0.954665,-0.00131894,0.00167609
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1.04678,0.0089056,0.0010373
3,2,1.04452,0.0136169,0.00206265
3,3,1.04162,0.0131531,0.00187625
3,4,1.03816,0.012511,0.00173232
3,5,1.03378,0.0117418,0.00111782
3,6,1.02828,0.0100941,1.38442e-05
3,7,1.02155,0.00733871,-0.00162529
3,8,1.01375,0.00365964,-0.00345414
3,9,1.00518,-0.000580299,-0.00514251
3,10,0.996387,-0.00495435,-0.00644726
3,11,0.987945,-0.00904409,-0.00700353
3,12,0.98044,-0.0124825,-0.00693505
3,13,0.974212,-0.0150283,-0.00606046
3,14,0.96941,-0.016662,-0.00488086
3,15,0.965856,-0.0176959,-0.00318338
3,16,0.963169,-0.018595,-0.00138826
3,17,0.960818,-0.0182312,0.000697394
3,18,0.958622,-0.0108097,0.000916445
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1.03944,0.00512445,0.000850969
4,2,1.03763,0.011773,0.00060039
4,3,1.03544,0.0117149,-0.000576526
4,4,1.03258,0.0111784,-0.00200627
4,5,1.02889,0.0107817,-0.00373919
4,6,1.02427,0.00964712,-0.00568707
4,7,1.01859,0.00732015,-0.00786635
4,8,1.01193,0.00385101,-0.0100083
4,9,1.00452,-0.000424103,-0.0117928
4,10,0.996802,-0.00503632,-0.0129943
4,11,0.989305,-0.0094538,-0.0133068
4,12,0.982563,-0.0131713,-0.0127954
4,13,0.97694,-0.015825,-0.0113591
4,14,0.9726,-0.0173771,-0.00934884
4,15,0.969419,-0.0182297,-0.00666879
4,16,0.967124,-0.0188082,-0.00377795
4,17,0.965389,-0.0173096,-0.00097983
4,18,0.963934,-0.00689473,0.000363861
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1.03176,0.0113529,0.000118138
5,2,1.03105,0.0199727,-1.10724e-05
5,3,1.02943,0.0209645,-0.00159448
5,4,1.02714,0.0207477,-0.00350702
5,5,1.02412,0.0200401,-0.00550393
5,6,1.02025,0.0178145,-0.00758141
5,7,1.01545,0.0134987,-0.00975787
5,8,1.0098,0.007274,-0.0118615
5,9,1.00352,-0.000187222,-0.0136319
5,10,0.996976,-0.007996,-0.0148374
5,11,0.990596,-0.0152428,-0.0151973
5,12,0.984842,-0.0211561,-0.0146735
5,13,0.980043,-0.0252755,-0.0131822
5,14,0.976368,-0.0276301,-0.0109398
5,15,0.973758,-0.028754,-0.00799022
5,16,0.971972,-0.0290141,-0.00474166
5,17,0.970773,-0.0263815,-0.00174322
5,18,0.970062,-0.0137936,-0.000304459
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1.02343,0.00800511,0.000321386
6,2,1.02286,0.0180883,-0.000263118
6,3,1.02182,0.019971,-0.00151076
6,4,1.02015,0.0200427,-0.00314638
6,5,1.01791,0.0195635,-0.00485863
6,6,1.01504,0.0177105,-0.00659294
