x,y,rho,ux,uy
0,0,0.999999,2.79137e-05,0
0,1,0.999999,2.8094e-05,-1.73757e-08
0,2,1,2.86172e-05,-3.30676e-08
0,3,1,2.94319e-05,-4.54867e-08
0,4,1,3.04583e-05,-5.34987e-08
0,5,1,3.15958e-05,-5.62176e-08
0,6,1,3.2733e-05,-5.34916e-08
0,7,1,3.37586e-05,-4.54752e-08
0,8,1,3.45724e-05,-3.3056e-08
0,9,1,3.50948e-05,-1.73686e-08
0,10,1,3.52747e-05,-2.42861e-17
0,11,1,3.50948e-05,1.73686e-08
0,12,1,3.45724e-05,3.3056e-08
0,13,1,3.37586e-05,4.54752e-08
0,14,1,3.2733e-05,5.34916e-08
0,15,1,3.15958e-05,5.62176e-08
0,16,1,3.04583e-05,5.34987e-08
0,17,1,2.94319e-05,4.54867e-08
0,18,1,2.86172e-05,3.30676e-08
0,19,0.999999,2.8094e-05,1.73757e-08
1,0,1.00002,2.65504e-05,7.9796e-17
1,1,1.00002,2.67219e-05,3.34384e-07
1,2,1.00002,2.72195e-05,6.3593e-07
1,3,1.00002,2.79945e-05,8.75158e-07
1,4,1.00002,2.89707e-05,1.02852e-06
1,5,1.00002,3.00527e-05,1.08122e-06
1,6,1.00002,3.11344e-05,1.02798e-06
1,7,1.00002,3.211e-05,8.74284e-07
1,8,1.00002,3.2884e-05,6.35057e-07
1,9,1.00002,3.3381e-05,3.33844e-07
1,10,1.00002,3.35522e-05,-3.81631e-17
1,11,1.00002,3.3381e-05,-3.33844e-07
1,12,1.00002,3.2884e-05,-6.35057e-07
1,13,1.00002,3.211e-05,-8.74284e-07
1,14,1.00002,3.11344e-05,-1.02798e-06
1,15,1.00002,3.00527e-05,-1.08122e-06
1,16,1.00002,2.89707e-05,-1.02852e-06
1,17,1.00002,2.79945e-05,-8.75158e-07
1,18,1.00002,2.72195e-05,-6.3593e-07
1,19,1.00002,2.67219e-05,-3.34384e-07
2,0,1.00003,2.2588e-05,9.02029e-17
2,1,1.00003,2.27339e-05,6.51747e-07
2,2,1.00003,2.31572e-05,1.23951e-06
2,3,1.00003,2.38165e-05,1.70579e-06
2,4,1.00003,2.46471e-05,2.00476e-06
2,5,1.00004,2.55676e-05,2.10746e-06
2,6,1.00004,2.64879e-05,2.00375e-06
2,7,1.00004,2.73179e-05,1.70415e-06
2,8,1.00004,2.79765e-05,1.23788e-06
2,9,1.00004,2.83993e-05,6.50735e-07
2,10,1.00004,2.8545e-05,0
2,11,1.00004,2.83993e-05,-6.50735e-07
2,12,1.00004,2.79765e-05,-1.23788e-06
2,13,1.00004,2.73179e-05,-1.70415e-06
2,14,1.00004,2.64879e-05,-2.00375e-06
2,15,1.00004,2.55676e-05,-2.10746e-06
2,16,1.00003,2.46471e-05,-2.00476e-06
2,17,1.00003,2.38165e-05,-1.70579e-06
2,18,1.00003,2.31572e-05,-1.23951e-06
2,19,1.00003,2.27339e-05,-6.51747e-07
3,0,1.00004,1.64124e-05,1.38772e-17
3,1,1.00004,1.65184e-05,9.03631e-07
3,2,1.00004,1.6826e-05,1.71857e-06
3,3,1.00004,1.7305e-05,2.36505e-06
3,4,1.00005,1.79085e-05,2.77959e-06
3,5,1.00005,1.85774e-05,2.922e-06
3,6,1.00005,1.92461e-05,2.77822e-06
3,7,1.00005,1.98492e-05,2.36283e-06
3,8,1.00005,2.03277e-05,1.71635e-06
3,9,1.00005,2.06349e-05,9.02261e-07
3,10,1.00005,2.07408e-05,-8.32622e-17
3,11,1.00005,2.06349e-05,-9.02261e-07
3,12,1.00005,2.03277e-05,-1.71635e-06
3,13,1.00005,1.98492e-05,-2.36283e-06
3,14,1.00005,1.92461e-05,-2.77822e-06
3,15,1.00005,1.85774e-05,-2.922e-06
3,16,1.00005,1.79085e-05,-2.77959e-06
3,17,1.00004,1.7305e-05,-2.36505e-06
3,18,1.00004,1.6826e-05,-1.71857e-06
3,19,1.00004,1.65184e-05,-9.03631e-07
4,0,1.00005,8.62911e-06,-6.2447e-17
4,1,1.00005,8.68484e-06,1.06536e-06
4,2,1.00005,8.84656e-06,2.02616e-06
4,3,1.00005,9.09843e-06,2.78836e-06
4,4,1.00005,9.41574e-06,3.27711e-06
4,5,1.00006,9.7674e-06,3.44501e-06
4,6,1.00006,1.0119e-05,3.27552e-06
4,7,1.00006,1.04361e-05,2.78578e-06
4,8,1.00006,1.06877e-05,2.02358e-06
4,9,1.00006,1.08492e-05,1.06377e-06
4,10,1.00006,1.09049e-05,6.59153e-17
4,11,1.00006,1.08492e-05,-1.06377e-06
4,12,1.00006,1.06877e-05,-2.02358e-06
4,13,1.00006,1.04361e-05,-2.78578e-06
4,14,1.00006,1.0119e-05,-3.27552e-06
4,15,1.00006,9.7674e-06,-3.44501e-06
4,16,1.00005,9.41574e-06,-3.27711e-06
4,17,1.00005,9.09843e-06,-2.78836e-06
4,18,1.00005,8.84656e-06,-2.02616e-06
4,19,1.00005,8.68484e-06,-1.06536e-06
5,0,1.00005,3.39988e-16,-2.77541e-17
5,1,1.00005,4.2325e-16,1.12109e-06
5,2,1.00005,2.18563e-16,2.13216e-06
5,3,1.00006,1.17955e-16,2.93423e-06
5,4,1.00006,6.9385e-17,3.44855e-06
5,5,1.00006,6.59156e-17,3.62523e-06
5,6,1.00006,1.07546e-16,3.44688e-06
5,7,1.00006,5.89768e-17,2.93152e-06
5,8,1.00007,8.32612e-17,2.12945e-06
5,9,1.00007,-4.16306e-17,1.11942e-06
5,10,1.00007,-1.14484e-16,1.21422e-16
5,11,1.00007,-1.42238e-16,-1.11942e-06
5,12,1.00007,-2.42845e-17,-2.12945e-06
5,13,1.00006,-3.81615e-17,-2.93152e-06
5,14,1.00006,-1.04077e-17,-3.44688e-06
5,15,1.00006,8.6731e-17,-3.62523e-06
