x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1.00008,1.09081e-05,9.57134e-07
1,2,1.00008,9.12041e-06,-7.74728e-06
1,3,1.00008,7.64632e-06,-1.14272e-06
1,4,1.00008,6.07356e-06,-7.22096e-06
1,5,1.00008,4.18746e-06,-2.0734e-07
1,6,1.00008,2.08651e-06,-6.50324e-06
1,7,1.00008,-9.25853e-08,2.48528e-07
1,8,1.00008,-2.20103e-06,-6.10907e-06
1,9,1.00008,-4.1014e-06,7.70825e-07
1,10,1.00008,-5.70099e-06,-5.34979e-06
1,11,1.00007,-6.93922e-06,1.83838e-06
1,12,1.00007,-7.82577e-06,-3.99669e-06
1,13,1.00007,-8.38172e-06,3.50928e-06
1,14,1.00007,-8.68217e-06,-2.08597e-06
1,15,1.00007,-8.75735e-06,5.58179e-06
1,16,1.00006,-8.65585e-06,-2.84295e-07
1,17,1.00006,-8.37044e-06,6.36143e-06
1,18,1.00006,-7.86412e-06,-1.92773e-06
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1.00008,-1.57195e-05,-1.58706e-07
2,2,1.00008,-1.91073e-05,-1.16398e-05
2,3,1.00008,-1.95971e-05,-6.87259e-06
2,4,1.00008,-1.77744e-05,-1.30473e-05
2,5,1.00008,-1.49277e-05,-6.11366e-06
2,6,1.00008,-1.18923e-05,-1.21046e-05
2,7,1.00008,-9.0695e-06,-5.49792e-06
2,8,1.00008,-6.61455e-06,-1.15212e-05
2,9,1.00007,-4.57789e-06,-4.51542e-06
2,10,1.00007,-2.97329e-06,-9.84697e-06
2,11,1.00007,-1.8098e-06,-1.98803e-06
2,12,1.00007,-1.07594e-06,-6.46354e-06
2,13,1.00007,-7.23127e-07,2.25234e-06
2,14,1.00007,-5.77599e-07,-1.5489e-06
2,15,1.00006,-2.92761e-07,7.43272e-06
2,16,1.00006,6.79148e-07,2.6624e-06
2,17,1.00006,2.84855e-06,8.6492e-06
2,18,1.00006,5.48776e-06,-1.02147e-06
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1.00008,1.00442e-05,-3.13313e-07
3,2,1.00008,2.58381e-06,-1.17349e-05
3,3,1.00008,-2.9431e-06,-8.4572e-06
3,4,1.00007,-5.38074e-06,-1.51213e-05
3,5,1.00007,-6.46046e-06,-9.2008e-06
3,6,1.00007,-7.52981e-06,-1.523e-05
3,7,1.00007,-9.07869e-06,-9.32599e-06
3,8,1.00007,-1.10393e-05,-1.51242e-05
3,9,1.00007,-1.31447e-05,-8.52916e-06
3,10,1.00007,-1.51451e-05,-1.32872e-05
3,11,1.00007,-1.68926e-05,-5.45625e-06
3,12,1.00006,-1.83358e-05,-8.97608e-06
3,13,1.00006,-1.94381e-05,3.06895e-08
3,14,1.00006,-1.99974e-05,-2.63043e-06
3,15,1.00006,-1.94369e-05,6.57e-06
3,16,1.00006,-1.68626e-05,2.59037e-06
3,17,1.00006,-1.19725e-05,8.27323e-06
3,18,1.00006,-7.28293e-06,-1.09083e-06
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1.00007,-1.41126e-05,6.70135e-08
4,2,1.00007,-2.17005e-05,-1.04835e-05
4,3,1.00007,-2.67611e-05,-7.92612e-06
4,4,1.00007,-2.66458e-05,-1.45607e-05
4,5,1.00007,-2.35706e-05,-9.80847e-06
4,6,1.00007,-1.99011e-05,-1.57139e-05
4,7,1.00007,-1.6847e-05,-1.07415e-05
4,8,1.00006,-1.47147e-05,-1.62192e-05
4,9,1.00006,-1.34145e-05,-1.03815e-05
4,10,1.00006,-1.27719e-05,-1.46455e-05
4,11,1.00006,-1.26496e-05,-7.40726e-06
4,12,1.00006,-1.29452e-05,-1.02805e-05
4,13,1.00006,-1.34641e-05,-1.76374e-06
4,14,1.00005,-1.36731e-05,-3.73739e-06
4,15,1.00005,-1.24472e-05,4.95122e-06
4,16,1.00005,-8.26969e-06,1.64549e-06
4,17,1.00005,-7.59027e-07,7.00451e-06
4,18,1.00005,5.80198e-06,-9.15301e-07
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1.00006,1.02709e-05,-6.07652e-08
5,2,1.00006,2.73135e-07,-8.66906e-06
5,3,1.00006,-8.87839e-06,-6.61311e-06
5,4,1.00006,-1.28253e-05,-1.264e-05
5,5,1.00006,-1.37915e-05,-8.87559e-06
5,6,1.00006,-1.4381e-05,-1.4296e-05
5,7,1.00006,-1.58113e-05,-1.02843e-05
5,8,1.00006,-1.81854e-05,-1.5202e-05
