x,y,rho,ux,uy
0,0,0.999999,7.07159e-05,1.249e-16
0,1,0.999999,7.01821e-05,1.96439e-09
0,2,0.999999,6.86329e-05,3.65863e-09
0,3,0.999999,6.62195e-05,5.35301e-09
0,4,1,6.31777e-05,6.25908e-09
0,5,1,5.98048e-05,7.03486e-09
0,6,1,5.64309e-05,6.67594e-09
0,7,1,5.33863e-05,6.0275e-09
0,8,1,5.09694e-05,4.33313e-09
0,9,1,4.94174e-05,2.38125e-09
0,10,1,4.88826e-05,1.56125e-16
0,11,1,4.94174e-05,-2.38125e-09
0,12,1,5.09694e-05,-4.33313e-09
0,13,1,5.33863e-05,-6.0275e-09
0,14,1,5.64309e-05,-6.67594e-09
0,15,1,5.98048e-05,-7.03486e-09
0,16,1,6.31777e-05,-6.25908e-09
0,17,0.999999,6.62195e-05,-5.35301e-09
0,18,0.999999,6.86329e-05,-3.65863e-09
0,19,0.999999,7.01821e-05,-1.96439e-09
1,0,1.00002,6.72744e-05,1.42245e-16
1,1,1.00002,6.67667e-05,-1.03946e-06
1,2,1.00002,6.5293e-05,-1.97769e-06
1,3,1.00002,6.29974e-05,-2.72219e-06
1,4,1.00002,6.0104e-05,-3.20134e-06
1,5,1.00002,5.68957e-05,-3.36651e-06
1,6,1.00002,5.36864e-05,-3.20304e-06
1,7,1.00003,5.07903e-05,-2.72494e-06
1,8,1.00003,4.84914e-05,-1.98043e-06
1,9,1.00003,4.70152e-05,-1.04116e-06
1,10,1.00003,4.65065e-05,1.28366e-16
1,11,1.00003,4.70152e-05,1.04116e-06
1,12,1.00003,4.84914e-05,1.98043e-06
1,13,1.00003,5.07903e-05,2.72494e-06
1,14,1.00002,5.36864e-05,3.20304e-06
1,15,1.00002,5.68957e-05,3.36651e-06
1,16,1.00002,6.0104e-05,3.20134e-06
1,17,1.00002,6.29974e-05,2.72219e-06
1,18,1.00002,6.5293e-05,1.97769e-06
1,19,1.00002,6.67667e-05,1.03946e-06
2,0,1.00003,5.72464e-05,3.81626e-17
2,1,1.00004,5.68145e-05,-1.97903e-06
2,2,1.00004,5.5561e-05,-3.76524e-06
2,3,1.00004,5.36081e-05,-5.18294e-06
2,4,1.00004,5.11468e-05,-6.09518e-06
2,5,1.00004,4.84176e-05,-6.41005e-06
2,6,1.00005,4.56876e-05,-6.09875e-06
2,7,1.00005,4.32241e-05,-5.18873e-06
2,8,1.00005,4.12686e-05,-3.77103e-06
2,9,1.00005,4.00128e-05,-1.9826e-06
2,10,1.00005,3.958e-05,5.20389e-17
2,11,1.00005,4.00128e-05,1.9826e-06
2,12,1.00005,4.12686e-05,3.77103e-06
2,13,1.00005,4.32241e-05,5.18873e-06
2,14,1.00005,4.56876e-05,6.09875e-06
2,15,1.00004,4.84176e-05,6.41005e-06
2,16,1.00004,5.11468e-05,6.09518e-06
2,17,1.00004,5.36081e-05,5.18294e-06
2,18,1.00004,5.5561e-05,3.76524e-06
2,19,1.00004,5.68145e-05,1.97903e-06
3,0,1.00005,4.16002e-05,4.85699e-17
3,1,1.00005,4.12863e-05,-2.72473e-06
3,2,1.00005,4.03754e-05,-5.18395e-06
