x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,4.27708e-10,2.00748e-10
1,2,1,4.14638e-10,-2.01419e-10
1,3,1,3.88536e-10,1.98182e-10
1,4,1,3.51508e-10,-2.0167e-10
1,5,1,3.03191e-10,1.96248e-10
1,6,1,2.46099e-10,-2.02012e-10
1,7,1,1.81211e-10,1.94986e-10
1,8,1,1.11046e-10,-2.02257e-10
1,9,1,3.73653e-11,1.94425e-10
1,10,1,-3.73963e-11,-2.02299e-10
1,11,1,-1.10992e-10,1.94592e-10
1,12,1,-1.81332e-10,-2.02114e-10
1,13,1,-2.45965e-10,1.95467e-10
1,14,1,-3.03421e-10,-2.01744e-10
1,15,1,-3.51307e-10,1.96975e-10
1,16,1,-3.88941e-10,-2.01294e-10
1,17,1,-4.14391e-10,1.99071e-10
1,18,1,-4.27911e-10,-2.0118e-10
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-4.26831e-10,1.94981e-10
2,2,1,-4.13154e-10,-1.94317e-10
2,3,1,-3.87299e-10,1.93444e-10
2,4,1,-3.5017e-10,-1.93645e-10
2,5,1,-3.02177e-10,1.92593e-10
2,6,1,-2.45165e-10,-1.93243e-10
2,7,1,-1.806e-10,1.92048e-10
2,8,1,-1.10625e-10,-1.93019e-10
2,9,1,-3.72405e-11,1.91805e-10
2,10,1,3.7257e-11,-1.92966e-10
2,11,1,1.10614e-10,1.91871e-10
2,12,1,1.80649e-10,-1.93079e-10
2,13,1,2.45132e-10,1.92241e-10
2,14,1,3.02269e-10,-1.9337e-10
2,15,1,3.50105e-10,1.92919e-10
2,16,1,3.87433e-10,-1.93839e-10
2,17,1,4.12869e-10,1.93708e-10
2,18,1,4.25728e-10,-1.94455e-10
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,4.2447e-10,1.8218e-10
3,2,1,4.12129e-10,-1.81823e-10
3,3,1,3.86683e-10,1.81606e-10
3,4,1,3.49489e-10,-1.81413e-10
3,5,1,3.01691e-10,1.81036e-10
3,6,1,2.44705e-10,-1.80948e-10
3,7,1,1.80307e-10,1.8064e-10
3,8,1,1.10418e-10,-1.8069e-10
3,9,1,3.71813e-11,1.80468e-10
3,10,1,-3.71888e-11,-1.80635e-10
3,11,1,-1.10431e-10,1.80521e-10
3,12,1,-1.80313e-10,-1.80786e-10
3,13,1,-2.44729e-10,1.80799e-10
3,14,1,-3.01701e-10,-1.81137e-10
3,15,1,-3.49525e-10,1.81284e-10
3,16,1,-3.8673e-10,-1.81706e-10
3,17,1,-4.12315e-10,1.82108e-10
3,18,1,-4.25932e-10,-1.83041e-10
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-4.25418e-10,1.65287e-10
4,2,1,-4.11627e-10,-1.64546e-10
4,3,1,-3.86082e-10,1.64143e-10
4,4,1,-3.48884e-10,-1.63864e-10
4,5,1,-3.01179e-10,1.63641e-10
4,6,1,-2.44288e-10,-1.63479e-10
4,7,1,-1.80001e-10,1.63325e-10
4,8,1,-1.1023e-10,-1.6325e-10
4,9,1,-3.71183e-11,1.63185e-10
4,10,1,3.7125e-11,-1.63205e-10
4,11,1,1.10243e-10,1.63235e-10
4,12,1,1.80005e-10,-1.63348e-10
4,13,1,2.44311e-10,1.63475e-10
4,14,1,3.01179e-10,-1.63686e-10
4,15,1,3.48914e-10,1.63927e-10
4,16,1,3.86022e-10,-1.6422e-10
4,17,1,4.11286e-10,1.64409e-10
4,18,1,4.23212e-10,-1.64861e-10
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,4.2233e-10,1.42233e-10
5,2,1,4.10634e-10,-1.41872e-10
5,3,1,3.85471e-10,1.41711e-10
5,4,1,3.48394e-10,-1.41479e-10
5,5,1,3.00747e-10,1.41267e-10
5,6,1,2.43954e-10,-1.41109e-10
5,7,1,1.79746e-10,1.40988e-10
5,8,1,1.10079e-10,-1.40916e-10
5,9,1,3.70662e-11,1.40873e-10
5,10,1,-3.7073e-11,-1.4088e-10
5,11,1,-1.10087e-10,1.40918e-10
5,12,1,-1.79755e-10,-1.41006e-10
5,13,1,-2.43964e-10,1.41126e-10
5,14,1,-3.00757e-10,-1.4129e-10
5,15,1,-3.48415e-10,1.41479e-10
5,16,1,-3.85519e-10,-1.41733e-10
5,17,1,-4.10999e-10,1.42068e-10
5,18,1,-4.24912e-10,-1.42724e-10
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-4.24611e-10,1.15716e-10
6,2,1,-4.10543e-10,-1.15195e-10
