x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,3.31336e-09,1.55515e-09
1,2,1,3.21211e-09,-1.56034e-09
1,3,1,3.00991e-09,1.53528e-09
1,4,1,2.72306e-09,-1.56229e-09
1,5,1,2.34876e-09,1.52029e-09
1,6,1,1.90648e-09,-1.56494e-09
1,7,1,1.40381e-09,1.51051e-09
1,8,1,8.60253e-10,-1.56684e-09
1,9,1,2.89467e-10,1.50617e-09
1,10,1,-2.89694e-10,-1.56717e-09
1,11,1,-8.59827e-10,1.50746e-09
1,12,1,-1.40473e-09,-1.56574e-09
1,13,1,-1.90543e-09,1.51423e-09
1,14,1,-2.35053e-09,-1.56287e-09
1,15,1,-2.72149e-09,1.52591e-09
1,16,1,-3.01303e-09,-1.55939e-09
1,17,1,-3.21019e-09,1.54216e-09
1,18,1,-3.31493e-09,-1.5585e-09
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-3.30656e-09,1.51048e-09
2,2,1,-3.2006e-09,-1.50532e-09
2,3,1,-3.0003e-09,1.49857e-09
2,4,1,-2.71267e-09,-1.50012e-09
2,5,1,-2.34088e-09,1.49198e-09
2,6,1,-1.89922e-09,-1.49701e-09
2,7,1,-1.39905e-09,1.48775e-09
2,8,1,-8.56968e-10,-1.49528e-09
2,9,1,-2.88478e-10,1.48587e-09
2,10,1,2.88639e-10,-1.49487e-09
2,11,1,8.5692e-10,1.48638e-09
2,12,1,1.39946e-09,-1.49575e-09
2,13,1,1.899e-09,1.48924e-09
2,14,1,2.34163e-09,-1.498e-09
2,15,1,2.71221e-09,1.49449e-09
2,16,1,3.00137e-09,-1.50164e-09
2,17,1,3.19842e-09,1.5006e-09
2,18,1,3.29803e-09,-1.50641e-09
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,3.28828e-09,1.41131e-09
3,2,1,3.1927e-09,-1.40853e-09
3,3,1,2.99558e-09,1.40686e-09
3,4,1,2.70745e-09,-1.40536e-09
3,5,1,2.33716e-09,1.40245e-09
3,6,1,1.8957e-09,-1.40176e-09
3,7,1,1.39683e-09,1.39937e-09
3,8,1,8.55411e-10,-1.39977e-09
3,9,1,2.88064e-10,1.39804e-09
3,10,1,-2.88064e-10,-1.39934e-09
3,11,1,-8.55455e-10,1.39845e-09
3,12,1,-1.39682e-09,-1.40051e-09
3,13,1,-1.89583e-09,1.40061e-09
3,14,1,-2.33718e-09,-1.40324e-09
3,15,1,-2.70766e-09,1.40436e-09
3,16,1,-2.99588e-09,-1.40765e-09
3,17,1,-3.19408e-09,1.41074e-09
3,18,1,-3.29959e-09,-1.41798e-09
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-3.2956e-09,1.28045e-09
4,2,1,-3.18875e-09,-1.27469e-09
4,3,1,-2.99085e-09,1.27158e-09
4,4,1,-2.70268e-09,-1.26941e-09
4,5,1,-2.33312e-09,1.26769e-09
4,6,1,-1.8924e-09,-1.26644e-09
4,7,1,-1.39439e-09,1.26524e-09
4,8,1,-8.53888e-10,-1.26467e-09
4,9,1,-2.87509e-10,1.26416e-09
4,10,1,2.87638e-10,-1.26432e-09
4,11,1,8.54065e-10,1.26454e-09
4,12,1,1.39449e-09,-1.26542e-09
4,13,1,1.89267e-09,1.2664e-09
4,14,1,2.33321e-09,-1.26805e-09
4,15,1,2.703e-09,1.2699e-09
4,16,1,2.99047e-09,-1.27218e-09
4,17,1,3.18618e-09,1.27363e-09
4,18,1,3.27855e-09,-1.27714e-09
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,3.27171e-09,1.10185e-09
5,2,1,3.18114e-09,-1.09904e-09
5,3,1,2.98621e-09,1.09781e-09
5,4,1,2.69899e-09,-1.09601e-09
5,5,1,2.32987e-09,1.09437e-09
5,6,1,1.88991e-09,-1.09314e-09
5,7,1,1.3925e-09,1.0922e-09
5,8,1,8.52808e-10,-1.09164e-09
5,9,1,2.87193e-10,1.09131e-09
5,10,1,-2.87148e-10,-1.09137e-09
5,11,1,-8.52767e-10,1.09166e-09
5,12,1,-1.39247e-09,-1.09235e-09
5,13,1,-1.88989e-09,1.09327e-09
5,14,1,-2.32985e-09,-1.09455e-09
5,15,1,-2.69904e-09,1.096e-09
5,16,1,-2.98648e-09,-1.09798e-09
5,17,1,-3.18387e-09,1.10056e-09
5,18,1,-3.29168e-09,-1.10565e-09
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-3.28935e-09,8.9643e-10
6,2,1,-3.18034e-09,-8.92383e-10
