x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,1.0991e-08,5.1587e-09
1,2,1,1.06551e-08,-5.17605e-09
1,3,1,9.98439e-09,5.09274e-09
1,4,1,9.03285e-09,-5.18246e-09
1,5,1,7.79123e-09,5.04309e-09
1,6,1,6.32411e-09,-5.19119e-09
1,7,1,4.65664e-09,5.01071e-09
1,8,1,2.85357e-09,-5.19745e-09
1,9,1,9.60157e-10,4.99634e-09
1,10,1,-9.61033e-10,-5.19849e-09
1,11,1,-2.85228e-09,5.00064e-09
1,12,1,-4.65985e-09,-5.19373e-09
1,13,1,-6.32077e-09,5.02314e-09
1,14,1,-7.79725e-09,-5.1842e-09
1,15,1,-9.02781e-09,5.06191e-09
1,16,1,-9.99489e-09,-5.17263e-09
1,17,1,-1.06489e-08,5.11578e-09
1,18,1,-1.09963e-08,-5.16976e-09
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-1.09685e-08,5.01049e-09
2,2,1,-1.06171e-08,-4.9936e-09
2,3,1,-9.95277e-09,4.97089e-09
2,4,1,-8.99867e-09,-4.97628e-09
2,5,1,-7.76537e-09,4.94916e-09
2,6,1,-6.3003e-09,-4.96582e-09
2,7,1,-4.64113e-09,4.93529e-09
2,8,1,-2.84292e-09,-4.95995e-09
2,9,1,-9.57134e-10,4.92913e-09
2,10,1,9.57269e-10,-4.95852e-09
2,11,1,2.84236e-09,4.93088e-09
2,12,1,4.64207e-09,-4.96139e-09
2,13,1,6.29911e-09,4.94044e-09
2,14,1,7.76739e-09,-4.96881e-09
2,15,1,8.99665e-09,4.95789e-09
2,16,1,9.95589e-09,-4.98087e-09
2,17,1,1.06096e-08,4.97808e-09
2,18,1,1.09401e-08,-4.99693e-09
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,1.09079e-08,4.68152e-09
3,2,1,1.05906e-08,-4.67253e-09
3,3,1,9.93659e-09,4.66668e-09
3,4,1,8.98073e-09,-4.66195e-09
3,5,1,7.75243e-09,4.65217e-09
3,6,1,6.28804e-09,-4.64985e-09
3,7,1,4.6332e-09,4.64214e-09
3,8,1,2.83722e-09,-4.64309e-09
3,9,1,9.55221e-10,4.63783e-09
3,10,1,-9.55914e-10,-4.64159e-09
3,11,1,-2.83807e-09,4.63925e-09
3,12,1,-4.63389e-09,-4.64542e-09
3,13,1,-6.28925e-09,4.64647e-09
3,14,1,-7.75332e-09,-4.6544e-09
3,15,1,-8.98229e-09,4.65895e-09
3,16,1,-9.93831e-09,-4.66903e-09
3,17,1,-1.05956e-08,4.68e-09
3,18,1,-1.09454e-08,-4.7036e-09
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-1.09322e-08,4.24744e-09
4,2,1,-1.05779e-08,-4.22854e-09
4,3,1,-9.92168e-09,4.21795e-09
4,4,1,-8.96587e-09,-4.21097e-09
4,5,1,-7.74e-09,4.20517e-09
4,6,1,-6.27801e-09,-4.20094e-09
4,7,1,-4.62597e-09,4.19722e-09
4,8,1,-2.833e-09,-4.19493e-09
4,9,1,-9.54209e-10,4.19371e-09
4,10,1,9.53662e-10,-4.19369e-09
4,11,1,2.8326e-09,4.19505e-09
4,12,1,4.62528e-09,-4.19731e-09
4,13,1,6.27778e-09,4.20127e-09
4,14,1,7.73911e-09,-4.20596e-09
4,15,1,8.96578e-09,4.21289e-09
4,16,1,9.91948e-09,-4.21971e-09
4,17,1,1.05689e-08,4.22514e-09
4,18,1,1.08755e-08,-4.23643e-09
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,1.08529e-08,3.65501e-09
5,2,1,1.05522e-08,-3.64583e-09
5,3,1,9.9053e-09,3.64155e-09
5,4,1,8.95237e-09,-3.63571e-09
5,5,1,7.72792e-09,3.63025e-09
5,6,1,6.2685e-09,-3.62606e-09
5,7,1,4.61856e-09,3.62321e-09
5,8,1,2.82831e-09,-3.62098e-09
5,9,1,9.52063e-10,3.62034e-09
5,10,1,-9.53138e-10,-3.62e-09
5,11,1,-2.82942e-09,3.62155e-09
5,12,1,-4.61976e-09,-3.6232e-09
5,13,1,-6.26981e-09,3.62692e-09
5,14,1,-7.72929e-09,-3.63047e-09
5,15,1,-8.95397e-09,3.63598e-09
5,16,1,-9.9073e-09,-3.6419e-09
5,17,1,-1.05618e-08,3.651e-09
5,18,1,-1.09192e-08,-3.66758e-09
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-1.09114e-08,2.97361e-09
6,2,1,-1.05501e-08,-2.96027e-09
