x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,4.77002e-11,2.23885e-11
1,2,1,4.62425e-11,-2.24634e-11
1,3,1,4.33315e-11,2.21024e-11
1,4,1,3.92019e-11,-2.24913e-11
1,5,1,3.38134e-11,2.18867e-11
1,6,1,2.74462e-11,-2.25295e-11
1,7,1,2.02095e-11,2.17459e-11
1,8,1,1.23842e-11,-2.25569e-11
1,9,1,4.16707e-12,2.16833e-11
1,10,1,-4.17063e-12,-2.25615e-11
1,11,1,-1.23785e-11,2.1702e-11
1,12,1,-2.02231e-11,-2.2541e-11
1,13,1,-2.74313e-11,2.17995e-11
1,14,1,-3.38391e-11,-2.24997e-11
1,15,1,-3.91796e-11,2.19677e-11
1,16,1,-4.33766e-11,-2.24494e-11
1,17,1,-4.62149e-11,2.22017e-11
1,18,1,-4.77228e-11,-2.24367e-11
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-4.76022e-11,2.17453e-11
2,2,1,-4.6077e-11,-2.16713e-11
2,3,1,-4.31934e-11,2.15738e-11
2,4,1,-3.90527e-11,-2.15964e-11
2,5,1,-3.37003e-11,2.1479e-11
2,6,1,-2.7342e-11,-2.15516e-11
2,7,1,-2.01414e-11,2.14182e-11
2,8,1,-1.23374e-11,-2.15266e-11
2,9,1,-4.15327e-12,2.13911e-11
2,10,1,4.1552e-12,-2.15207e-11
2,11,1,1.23364e-11,2.13985e-11
2,12,1,2.0147e-11,-2.15333e-11
2,13,1,2.73384e-11,2.14398e-11
2,14,1,3.37107e-11,-2.15658e-11
2,15,1,3.90456e-11,2.15154e-11
2,16,1,4.32086e-11,-2.1618e-11
2,17,1,4.60452e-11,2.16035e-11
2,18,1,4.74794e-11,-2.16869e-11
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,4.7339e-11,2.03176e-11
3,2,1,4.59627e-11,-2.02779e-11
3,3,1,4.31249e-11,2.02535e-11
3,4,1,3.89768e-11,-2.02322e-11
3,5,1,3.36461e-11,2.01901e-11
3,6,1,2.72907e-11,-2.01803e-11
3,7,1,2.01087e-11,2.01459e-11
3,8,1,1.23142e-11,-2.01516e-11
3,9,1,4.14652e-12,2.01267e-11
3,10,1,-4.14755e-12,-2.01454e-11
3,11,1,-1.23159e-11,2.01327e-11
3,12,1,-2.01095e-11,-2.01623e-11
3,13,1,-2.72935e-11,2.01637e-11
3,14,1,-3.36473e-11,-2.02016e-11
3,15,1,-3.89809e-11,2.02178e-11
3,16,1,-4.31302e-11,-2.02649e-11
3,17,1,-4.59835e-11,2.03097e-11
3,18,1,-4.75021e-11,-2.04138e-11
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-4.74447e-11,1.84337e-11
4,2,1,-4.59066e-11,-1.83511e-11
4,3,1,-4.30578e-11,1.83061e-11
4,4,1,-3.89092e-11,-1.82751e-11
4,5,1,-3.3589e-11,1.82501e-11
4,6,1,-2.72442e-11,-1.82322e-11
4,7,1,-2.00746e-11,1.82149e-11
4,8,1,-1.22934e-11,-1.82067e-11
4,9,1,-4.13962e-12,1.81993e-11
4,10,1,4.14035e-12,-1.82016e-11
4,11,1,1.22948e-11,1.8205e-11
4,12,1,2.0075e-11,-1.82174e-11
4,13,1,2.72468e-11,1.82317e-11
4,14,1,3.3589e-11,-1.82553e-11
4,15,1,3.89126e-11,1.8282e-11
4,16,1,4.30511e-11,-1.83148e-11
4,17,1,4.58687e-11,1.83358e-11
4,18,1,4.71989e-11,-1.83862e-11
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,4.71003e-11,1.58626e-11
5,2,1,4.5796e-11,-1.58223e-11
5,3,1,4.29896e-11,1.58043e-11
5,4,1,3.88546e-11,-1.57786e-11
5,5,1,3.35408e-11,1.57548e-11
5,6,1,2.72069e-11,-1.57374e-11
5,7,1,2.00461e-11,1.57237e-11
5,8,1,1.22765e-11,-1.57158e-11
5,9,1,4.13372e-12,1.5711e-11
5,10,1,-4.13463e-12,-1.57117e-11
5,11,1,-1.22775e-11,1.5716e-11
5,12,1,-2.00473e-11,-1.57258e-11
5,13,1,-2.72082e-11,1.57392e-11
5,14,1,-3.35421e-11,-1.57575e-11
5,15,1,-3.88572e-11,1.57785e-11
5,16,1,-4.29951e-11,-1.58069e-11
5,17,1,-4.58367e-11,1.58442e-11
5,18,1,-4.73883e-11,-1.59173e-11
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-4.73548e-11,1.29053e-11
6,2,1,-4.57859e-11,-1.28472e-11
