x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,1.2824e-07,6.01848e-08
1,2,1,1.24329e-07,-6.04018e-08
1,3,1,1.16501e-07,5.93949e-08
1,4,1,1.05398e-07,-6.04736e-08
1,5,1,9.09117e-08,5.88384e-08
1,6,1,7.37955e-08,-6.05472e-08
1,7,1,5.43416e-08,5.84859e-08
1,8,1,3.3305e-08,-6.06004e-08
1,9,1,1.12139e-08,5.83331e-08
1,10,1,-1.12019e-08,-6.06016e-08
1,11,1,-3.32688e-08,5.83915e-08
1,12,1,-5.436e-08,-6.05393e-08
1,13,1,-7.37406e-08,5.86608e-08
1,14,1,-9.09695e-08,-6.04203e-08
1,15,1,-1.05328e-07,5.91204e-08
1,16,1,-1.16612e-07,-6.02844e-08
1,17,1,-1.24241e-07,5.97316e-08
1,18,1,-1.28296e-07,-6.02968e-08
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-1.27918e-07,5.84504e-08
2,2,1,-1.23796e-07,-5.82963e-08
2,3,1,-1.16069e-07,5.79425e-08
2,4,1,-1.04955e-07,-5.80885e-08
2,5,1,-9.05713e-08,5.77433e-08
2,6,1,-7.34766e-08,-5.78942e-08
2,7,1,-5.41167e-08,5.76502e-08
2,8,1,-3.31369e-08,-5.77686e-08
2,9,1,-1.11378e-08,5.76231e-08
2,10,1,1.11927e-08,-5.77173e-08
2,11,1,3.31791e-08,5.76707e-08
2,12,1,5.41671e-08,-5.77283e-08
2,13,1,7.34889e-08,5.78026e-08
2,14,1,9.06095e-08,-5.77953e-08
2,15,1,1.04948e-07,5.80194e-08
2,16,1,1.16149e-07,-5.7948e-08
2,17,1,1.23798e-07,5.81881e-08
2,18,1,1.27653e-07,-5.82654e-08
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,1.27354e-07,5.46132e-08
3,2,1,1.23689e-07,-5.45528e-08
3,3,1,1.16002e-07,5.43878e-08
3,4,1,1.04805e-07,-5.4425e-08
3,5,1,9.04614e-08,5.42814e-08
3,6,1,7.33806e-08,-5.41955e-08
3,7,1,5.40818e-08,5.42522e-08
3,8,1,3.31333e-08,-5.4041e-08
3,9,1,1.11768e-08,5.42631e-08
3,10,1,-1.11239e-08,-5.39751e-08
3,11,1,-3.30906e-08,5.43179e-08
3,12,1,-5.40543e-08,-5.39888e-08
3,13,1,-7.33818e-08,5.44285e-08
3,14,1,-9.04739e-08,-5.40723e-08
3,15,1,-1.04806e-07,5.45811e-08
3,16,1,-1.15923e-07,-5.42738e-08
3,17,1,-1.23534e-07,5.47267e-08
3,18,1,-1.27626e-07,-5.48425e-08
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-1.27402e-07,4.95518e-08
4,2,1,-1.23215e-07,-4.93629e-08
4,3,1,-1.15649e-07,4.91654e-08
4,4,1,-1.04572e-07,-4.91525e-08
4,5,1,-9.02955e-08,4.90754e-08
4,6,1,-7.32353e-08,-4.89504e-08
4,7,1,-5.39494e-08,4.90693e-08
4,8,1,-3.30226e-08,-4.88041e-08
4,9,1,-1.11006e-08,4.90908e-08
4,10,1,1.11545e-08,-4.87402e-08
4,11,1,3.30658e-08,4.91451e-08
4,12,1,5.3965e-08,-4.87519e-08
4,13,1,7.32257e-08,4.92417e-08
4,14,1,9.02641e-08,-4.88369e-08
4,15,1,1.04594e-07,4.93752e-08
4,16,1,1.15788e-07,-4.90398e-08
4,17,1,1.23455e-07,4.94105e-08
4,18,1,1.27001e-07,-4.93957e-08
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,1.26794e-07,4.26428e-08
5,2,1,1.23356e-07,-4.25521e-08
5,3,1,1.15692e-07,4.24594e-08
5,4,1,1.04475e-07,-4.2423e-08
5,5,1,9.01521e-08,4.23817e-08
5,6,1,7.31281e-08,-4.22351e-08
5,7,1,5.3894e-08,4.23761e-08
5,8,1,3.30203e-08,-4.21084e-08
5,9,1,1.1136e-08,4.23979e-08
5,10,1,-1.10938e-08,-4.20537e-08
5,11,1,-3.29937e-08,4.24448e-08
5,12,1,-5.38982e-08,-4.20668e-08
5,13,1,-7.31686e-08,4.25244e-08
5,14,1,-9.02033e-08,-4.21437e-08
5,15,1,-1.04459e-07,4.26204e-08
5,16,1,-1.15487e-07,-4.23222e-08
5,17,1,-1.23005e-07,4.26964e-08
5,18,1,-1.27227e-07,-4.27627e-08
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-1.27093e-07,3.46956e-08
6,2,1,-1.22795e-07,-3.45416e-08
