x,y,rho,ux,uy
0,0,1,0,0
0,1,1,0.0216312,0
0,2,1,0.041145,0
0,3,1,0.0566312,0
0,4,1,0.066574,0
0,5,1,0.07,0
0,6,1,0.066574,0
0,7,1,0.0566312,0
0,8,1,0.041145,0
0,9,1,0.0216312,0
0,10,1,8.57253e-18,0
0,11,1,-0.0216312,0
0,12,1,-0.041145,0
0,13,1,-0.0566312,0
0,14,1,-0.066574,0
0,15,1,-0.07,0
0,16,1,-0.066574,0
0,17,1,-0.0566312,0
0,18,1,-0.041145,0
0,19,1,-0.0216312,0
1,0,1,0,0
1,1,1,6.0135e-07,2.80422e-07
1,2,1,5.81065e-07,-2.8983e-07
1,3,1,5.43766e-07,2.75823e-07
1,4,1,4.9149e-07,-2.87092e-07
1,5,1,4.23337e-07,2.76806e-07
1,6,1,3.42744e-07,-2.84342e-07
1,7,1,2.5108e-07,2.77635e-07
1,8,1,1.51917e-07,-2.82571e-07
1,9,1,4.77641e-08,2.78601e-07
1,10,1,-5.7926e-08,-2.81161e-07
1,11,1,-1.61977e-07,2.80039e-07
1,12,1,-2.61444e-07,-2.79932e-07
1,13,1,-3.52879e-07,2.82096e-07
1,14,1,-4.34215e-07,-2.78572e-07
1,15,1,-5.0206e-07,2.85257e-07
1,16,1,-5.55355e-07,-2.76732e-07
1,17,1,-5.90979e-07,2.88723e-07
1,18,1,-6.08085e-07,-2.8012e-07
1,19,1,-0.0216312,0
2,0,1,0,0
2,1,1,-6.08716e-07,2.7107e-07
2,2,1,-5.96993e-07,-2.83565e-07
2,3,1,-5.63731e-07,2.64945e-07
2,4,1,-5.11665e-07,-2.7852e-07
2,5,1,-4.43245e-07,2.70803e-07
2,6,1,-3.62025e-07,-2.71065e-07
2,7,1,-2.70382e-07,2.75787e-07
2,8,1,-1.71347e-07,-2.6606e-07
2,9,1,-6.76719e-08,2.79329e-07
2,10,1,3.74614e-08,-2.62738e-07
2,11,1,1.40875e-07,2.82101e-07
2,12,1,2.3944e-07,-2.60704e-07
2,13,1,3.29938e-07,2.84531e-07
2,14,1,4.0984e-07,-2.59162e-07
2,15,1,4.76658e-07,2.87681e-07
2,16,1,5.29563e-07,-2.5814e-07
2,17,1,5.68517e-07,2.87135e-07
2,18,1,5.94654e-07,-2.68848e-07
2,19,1,-0.0216312,0
3,0,1,0,0
3,1,1,5.92879e-07,2.53399e-07
3,2,1,5.62167e-07,-2.65525e-07
3,3,1,5.18971e-07,2.48225e-07
3,4,1,4.64677e-07,-2.61422e-07
3,5,1,3.97898e-07,2.54371e-07
3,6,1,3.18579e-07,-2.53591e-07
3,7,1,2.28429e-07,2.60003e-07
3,8,1,1.30087e-07,-2.48115e-07
3,9,1,2.67377e-08,2.63999e-07
3,10,1,-7.83706e-08,-2.44503e-07
3,11,1,-1.82035e-07,2.66991e-07
3,12,1,-2.81211e-07,-2.42312e-07
3,13,1,-3.73069e-07,2.69488e-07
3,14,1,-4.54757e-07,-2.40717e-07
3,15,1,-5.23129e-07,2.72292e-07
3,16,1,-5.74154e-07,-2.40369e-07
3,17,1,-6.0338e-07,2.70698e-07
3,18,1,-6.09091e-07,-2.53085e-07
3,19,1,-0.0216312,0
4,0,1,0,0
4,1,1,-6.09565e-07,2.30164e-07
4,2,1,-6.07897e-07,-2.39612e-07
4,3,1,-5.82569e-07,2.25039e-07
4,4,1,-5.33043e-07,-2.35613e-07
4,5,1,-4.64742e-07,2.30339e-07
4,6,1,-3.8259e-07,-2.28746e-07
4,7,1,-2.90427e-07,2.35415e-07
4,8,1,-1.9115e-07,-2.23861e-07
4,9,1,-8.75963e-08,2.38978e-07
4,10,1,1.72836e-08,-2.20689e-07
4,11,1,1.20309e-07,2.41588e-07
4,12,1,2.18173e-07,-2.18818e-07
4,13,1,3.07726e-07,2.43727e-07
4,14,1,3.86331e-07,-2.17523e-07
4,15,1,4.5283e-07,2.46084e-07
4,16,1,5.08065e-07,-2.17565e-07
4,17,1,5.54139e-07,2.43992e-07
4,18,1,5.88852e-07,-2.28069e-07
4,19,1,-0.0216312,0
5,0,1,0,0
5,1,1,5.86642e-07,1.98217e-07
5,2,1,5.48386e-07,-2.06021e-07
5,3,1,4.99099e-07,1.95106e-07
5,4,1,4.4251e-07,-2.02555e-07
5,5,1,3.76041e-07,1.99677e-07
5,6,1,2.97891e-07,-1.96675e-07
5,7,1,2.088e-07,2.03925e-07
5,8,1,1.11242e-07,-1.92591e-07
5,9,1,8.43307e-09,2.06868e-07
5,10,1,-9.62753e-08,-1.90024e-07
5,11,1,-1.99694e-07,2.08932e-07
5,12,1,-2.98892e-07,-1.88627e-07
5,13,1,-3.91112e-07,2.10545e-07
5,14,1,-4.73334e-07,-1.87753e-07
5,15,1,-5.41505e-07,2.12265e-07
5,16,1,-5.89903e-07,-1.87962e-07
5,17,1,-6.12511e-07,2.10691e-07
5,18,1,-6.10477e-07,-1.97448e-07
5,19,1,-0.0216312,0
6,0,1,0,0
6,1,1,-6.11572e-07,1.61428e-07
6,2,1,-6.16704e-07,-1.66748e-07
